burstiness_target,burstiness_measured,scv_target,scv_measured,rate_per_lane,loss_probability,arrivals_measured,drops_measured
-0.2875000000000001,-0.28943298236804926,0.553398058252427,0.5510693671934709,0.995,0.0,100000,0
-0.2875000000000001,-0.28505158503844613,0.553398058252427,0.5563577550391987,1.01,0.00832,100000,832
-0.2875000000000001,-0.2859809941100429,0.553398058252427,0.5552329382473421,1.0250000000000001,0.0249,100000,2490
-0.2875000000000001,-0.28873754366036686,0.553398058252427,0.5519063674667639,1.04,0.03989,100000,3989
-0.16875000000000007,-0.16734955539478327,0.711229946524064,0.713282872946848,0.86,0.0,100000,0
-0.16875000000000007,-0.171900493977319,0.711229946524064,0.7066295391788683,0.875,0.0,100000,0
-0.16875000000000007,-0.16872013944322212,0.711229946524064,0.7112736680937143,0.89,0.0,100000,0
-0.16875000000000007,-0.16798111814029307,0.711229946524064,0.7123564490361635,0.905,0.0,100000,0
-0.16875000000000007,-0.17032779213008584,0.711229946524064,0.7089229303525703,0.92,0.0,100000,0
-0.16875000000000007,-0.16532940800413218,0.711229946524064,0.7162529206444845,0.935,0.0,100000,0
-0.16875000000000007,-0.1715250940135666,0.711229946524064,0.7071764063953029,0.95,0.0,100000,0
-0.16875000000000007,-0.16715897720270223,0.711229946524064,0.7135626243421825,0.9650000000000001,0.0,100000,0
-0.16875000000000007,-0.17416847545984993,0.711229946524064,0.7033330751080865,0.98,0.0,100000,0
-0.16875000000000007,-0.16622509737615243,0.711229946524064,0.7149347964640167,0.995,0.0,100000,0
-0.16875000000000007,-0.17107362646890156,0.711229946524064,0.7078345501047034,1.01,0.00953,100000,953
-0.16875000000000007,-0.16999288452116168,0.711229946524064,0.7094121053723604,1.0250000000000001,0.02126,100000,2126
-0.16875000000000007,-0.16744611471508286,0.711229946524064,0.7131411675374013,1.04,0.03965,100000,3965
-0.050000000000000044,-0.04761092447685095,0.9047619047619047,0.9091057121218422,0.86,0.0,100000,0
-0.050000000000000044,-0.04507415412992095,0.9047619047619047,0.9137397974071083,0.875,0.0,100000,0
-0.050000000000000044,-0.045151235956253706,0.9047619047619047,0.9135986555764958,0.89,0.0,100000,0
-0.050000000000000044,-0.04956970607422454,0.9047619047619047,0.905542803327216,0.905,0.0,100000,0
-0.050000000000000044,-0.052095869856591516,0.9047619047619047,0.9009674472656326,0.92,0.0,100000,0
-0.050000000000000044,-0.04646824995812276,0.9047619047619047,0.911190330026769,0.935,0.0,100000,0
-0.050000000000000044,-0.048578717314412385,0.9047619047619047,0.9073436900591866,0.95,0.0,100000,0
-0.050000000000000044,-0.05206803561350538,0.9047619047619047,0.9010177405814971,0.9650000000000001,0.0,100000,0
-0.050000000000000044,-0.05260474836984295,0.9047619047619047,0.900048430426879,0.98,0.0,100000,0
-0.050000000000000044,-0.04928694703149039,0.9047619047619047,0.9060563039101425,0.995,0.0,100000,0
-0.050000000000000044,-0.046407528776058804,0.9047619047619047,0.9113012330285126,1.01,0.00515,100000,515
-0.050000000000000044,-0.05074404856649122,0.9047619047619047,0.9034131125734753,1.0250000000000001,0.02161,100000,2161
-0.050000000000000044,-0.04853336048831467,0.9047619047619047,0.9074261967865055,1.04,0.03631,100000,3631
0.06874999999999987,0.06788987211324236,1.1476510067114092,1.145669208137797,0.86,0.0,100000,0
0.06874999999999987,0.07445988969817145,1.1476510067114092,1.1609004058697991,0.875,0.0,100000,0
0.06874999999999987,0.06632087457252295,1.1476510067114092,1.1420635264650658,0.89,0.0,100000,0
0.06874999999999987,0.06843586909642663,1.1476510067114092,1.1469268015505214,0.905,0.0,100000,0
0.06874999999999987,0.06089448808799389,1.1476510067114092,1.1296861477556734,0.92,0.0,100000,0
0.06874999999999987,0.07572977946224312,1.1476510067114092,1.1638693485508647,0.935,0.0,100000,0
0.06874999999999987,0.07054093960296698,1.1476510067114092,1.151789234423804,0.95,0.0,100000,0
0.06874999999999987,0.06700578722780208,1.1476510067114092,1.1436360189817434,0.9650000000000001,0.0,100000,0
0.06874999999999987,0.06929834514401571,1.1476510067114092,1.1489163466776877,0.98,0.0,100000,0
0.06874999999999987,0.0693661894199005,1.1476510067114092,1.1490730051526108,0.995,0.00012,100000,12
0.06874999999999987,0.06657820343094935,1.1476510067114092,1.142654057738246,1.01,0.01286,100000,1286
0.06874999999999987,0.0664175757587768,1.1476510067114092,1.1422854030542793,1.0250000000000001,0.02105,100000,2105
0.06874999999999987,0.06677922467458583,1.1476510067114092,1.143115598024058,1.04,0.03365,100000,3365
0.1875,0.19390197572418932,1.4615384615384615,1.4810878327071666,0.86,0.0,100000,0
0.1875,0.1901595213189139,1.4615384615384615,1.4696221696119944,0.875,0.0,100000,0
0.1875,0.18376893632027916,1.4615384615384615,1.4502865536428244,0.89,0.0,100000,0
0.1875,0.18558648922002774,1.4615384615384615,1.4557549371750713,0.905,0.0,100000,0
0.1875,0.18754516746434718,1.4615384615384615,1.4616753078544023,0.92,0.0,100000,0
0.1875,0.1900091422677496,1.4615384615384615,1.4691636713029637,0.935,0.0,100000,0
0.1875,0.18435687957857314,1.4615384615384615,1.4520528033959743,0.95,0.0,100000,0
0.1875,0.19118240785947802,1.4615384615384615,1.4727454242272773,0.9650000000000001,0.0,100000,0
0.1875,0.18758557816819504,1.4615384615384615,1.4617977552521368,0.98,0.0,100000,0
0.1875,0.18785689103643824,1.4615384615384615,1.4626201686945959,0.995,0.00295,100000,295
0.1875,0.19005190105067662,1.4615384615384615,1.4692940234003011,1.01,0.01095,100000,1095
0.1875,0.18325043058246435,1.4615384615384615,1.4487310124035921,1.0250000000000001,0.02276,100000,2276
0.1875,0.1846968836698396,1.4615384615384615,1.4530753776612473,1.04,0.03823,100000,3823
0.3062499999999999,0.3013496061686723,1.8828828828828825,1.8626620948886945,0.86,0.0,100000,0
0.3062499999999999,0.309309679103559,1.8828828828828825,1.8956537242395655,0.875,0.0,100000,0
0.3062499999999999,0.3022750579546021,1.8828828828828825,1.866459086494673,0.89,0.0,100000,0
0.3062499999999999,0.3068906727451859,1.8828828828828825,1.885547663773859,0.905,0.0,100000,0
0.3062499999999999,0.311871292558255,1.8828828828828825,1.906433023896644,0.92,0.0,100000,0
0.3062499999999999,0.3088835100440294,1.8828828828828825,1.8938681525706549,0.935,0.0,100000,0
0.3062499999999999,0.30872115696867386,1.8828828828828825,1.8931885015166992,0.95,0.0,100000,0
0.3062499999999999,0.31121990926438475,1.8828828828828825,1.9036843934673047,0.9650000000000001,0.0,100000,0
0.3062499999999999,0.30648139365867205,1.8828828828828825,1.883844761643876,0.98,0.0,100000,0
0.3062499999999999,0.30275152799160193,1.8828828828828825,1.8684179030741723,0.995,0.00063,100000,63
0.3062499999999999,0.3007872812298935,1.8828828828828825,1.8603598680497946,1.01,0.01343,100000,1343
