n_lane,egress_symbols_per_beat,burstiness,ready_duty,rho_lane,opq_loss_probability,time_merger_loss_probability,loss_ratio_clipped
8,2,0.54000000,0.88450000,0.00750000,1.000000000000e-12,9.098708204486e-02,1000000.0000000000
8,2,0.55000000,0.88450000,0.00750000,1.000000000000e-12,9.606664748350e-02,1000000.0000000000
8,2,0.56000000,0.88450000,0.00750000,1.000000000000e-12,1.014270834668e-01,1000000.0000000000
8,2,0.57000000,0.88450000,0.00750000,1.000000000000e-12,1.070808529642e-01,1000000.0000000000
8,2,0.58000000,0.88450000,0.00750000,1.000000000000e-12,1.130404967602e-01,1000000.0000000000
8,2,0.59000000,0.88450000,0.00750000,1.000000000000e-12,1.193185723966e-01,1000000.0000000000
8,2,0.60000000,0.88450000,0.00750000,1.000000000000e-12,1.259275889817e-01,1000000.0000000000
8,2,0.61000000,0.88450000,0.00750000,1.000000000000e-12,1.328799389866e-01,1000000.0000000000
8,2,0.62000000,0.88450000,0.00750000,1.000000000000e-12,1.401878284956e-01,1000000.0000000000
8,2,0.63000000,0.88450000,0.00750000,1.000000000000e-12,1.478632077471e-01,1000000.0000000000
8,2,0.64000000,0.88450000,0.00750000,1.000000000000e-12,1.559177041956e-01,1000000.0000000000
8,2,0.65000000,0.88450000,0.00750000,1.000000000000e-12,1.643625607326e-01,1000000.0000000000
8,2,0.66000000,0.88450000,0.00750000,1.000000000000e-12,1.732085821071e-01,1000000.0000000000
8,2,0.67000000,0.88450000,0.00750000,1.000000000000e-12,1.824660929817e-01,1000000.0000000000
8,2,0.68000000,0.88450000,0.00750000,1.000000000000e-12,1.921449114251e-01,1000000.0000000000
8,2,0.69000000,0.88450000,0.00750000,1.000000000000e-12,2.022543419750e-01,1000000.0000000000
8,2,0.70000000,0.88450000,0.00750000,1.000000000000e-12,2.128031926919e-01,1000000.0000000000
8,2,0.71000000,0.88450000,0.00750000,1.000000000000e-12,2.237998208576e-01,1000000.0000000000
8,2,0.72000000,0.88450000,0.00750000,1.000000000000e-12,2.352522121771e-01,1000000.0000000000
8,2,0.73000000,0.88450000,0.00750000,1.000000000000e-12,2.471680985057e-01,1000000.0000000000
8,2,0.74000000,0.88450000,0.00750000,1.000000000000e-12,2.595551193143e-01,1000000.0000000000
8,2,0.75000000,0.88450000,0.00750000,1.000000000000e-12,2.724210323496e-01,1000000.0000000000
8,2,0.76000000,0.88450000,0.00750000,1.000000000000e-12,2.857739793442e-01,1000000.0000000000
8,2,0.77000000,0.88450000,0.00750000,1.000000000000e-12,2.996228132920e-01,1000000.0000000000
8,2,0.78000000,0.88450000,0.00750000,1.000000000000e-12,3.139774949027e-01,1000000.0000000000
8,2,0.79000000,0.88450000,0.00750000,1.000000000000e-12,3.288495675950e-01,1000000.0000000000
8,2,0.80000000,0.88450000,0.00750000,1.000000000000e-12,3.442527231323e-01,1000000.0000000000
8,2,0.81000000,0.88450000,0.00750000,1.000000000000e-12,3.602034741706e-01,1000000.0000000000
8,2,0.82000000,0.88450000,0.00750000,1.000000000000e-12,3.767219562699e-01,1000000.0000000000
8,2,0.83000000,0.88450000,0.00750000,1.000000000000e-12,3.938328912861e-01,1000000.0000000000
8,2,0.84000000,0.88450000,0.00750000,1.000000000000e-12,4.115667580583e-01,1000000.0000000000
8,2,0.85000000,0.88450000,0.00750000,1.000000000000e-12,4.299612373502e-01,1000000.0000000000
8,2,0.86000000,0.88450000,0.00750000,1.000000000000e-12,4.490630300751e-01,1000000.0000000000
8,2,0.87000000,0.88450000,0.00750000,1.000000000000e-12,4.689301976504e-01,1000000.0000000000
8,2,0.88000000,0.88450000,0.00750000,1.000000000000e-12,4.896352526322e-01,1000000.0000000000
8,2,0.89000000,0.88450000,0.00750000,1.000000000000e-12,5.112693578980e-01,1000000.0000000000
8,2,0.90000000,0.88450000,0.00750000,1.000000000000e-12,5.339482138929e-01,1000000.0000000000
8,2,0.91000000,0.88450000,0.00750000,1.000000000000e-12,5.578206058703e-01,1000000.0000000000
8,2,0.92000000,0.88450000,0.00750000,1.000000000000e-12,5.830813146238e-01,1000000.0000000000
8,2,0.93000000,0.88450000,0.00750000,1.000000000000e-12,6.099915418630e-01,1000000.0000000000
8,2,0.94000000,0.88450000,0.00750000,1.000000000000e-12,6.389130824156e-01,1000000.0000000000
8,2,0.95000000,0.88450000,0.00750000,1.000000000000e-12,6.703696593640e-01,1000000.0000000000
8,2,-0.25000000,0.89000000,0.00750000,1.000000000000e-12,2.532426763193e-03,1000000.0000000000
8,2,-0.24000000,0.89000000,0.00750000,1.000000000000e-12,2.620544208139e-03,1000000.0000000000
