implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,rho_lane,effective_load,loss_probability
opq,4,1,1.000000,0.18333333,0.01666667,0.0829931973,1.000000000000e-12
opq,4,1,1.000000,0.20000000,0.01666667,0.0849836586,1.000000000000e-12
opq,4,1,1.000000,0.21666667,0.01666667,0.0870811091,1.000000000000e-12
opq,4,1,1.000000,0.23333333,0.01666667,0.0892923003,1.000000000000e-12
opq,4,1,1.000000,0.25000000,0.01666667,0.0916245695,1.000000000000e-12
opq,4,1,1.000000,0.26666667,0.01666667,0.0940859073,1.000000000000e-12
opq,4,1,1.000000,0.28333333,0.01666667,0.0966850346,1.000000000000e-12
opq,4,1,1.000000,0.30000000,0.01666667,0.0994314906,1.000000000000e-12
opq,4,1,1.000000,0.31666667,0.01666667,0.1023357332,1.000000000000e-12
opq,4,1,1.000000,0.33333333,0.01666667,0.1054092553,1.000000000000e-12
opq,4,1,1.000000,0.35000000,0.01666667,0.1086647185,1.000000000000e-12
opq,4,1,1.000000,0.36666667,0.01666667,0.1121161074,1.000000000000e-12
opq,4,1,1.000000,0.38333333,0.01666667,0.1157789105,1.000000000000e-12
opq,4,1,1.000000,0.40000000,0.01666667,0.1196703290,1.000000000000e-12
opq,4,1,1.000000,0.41666667,0.01666667,0.1238095238,1.000000000000e-12
opq,4,1,1.000000,0.43333333,0.01666667,0.1282179037,1.000000000000e-12
opq,4,1,1.000000,0.45000000,0.01666667,0.1329194679,1.000000000000e-12
opq,4,1,1.000000,0.46666667,0.01666667,0.1379412113,1.000000000000e-12
opq,4,1,1.000000,0.48333333,0.01666667,0.1433136093,1.000000000000e-12
