n_lane,egress_symbols_per_beat,burstiness,ready_duty,rho_lane,opq_loss_probability,time_merger_loss_probability,loss_ratio_clipped
4,1,0.93000000,0.47200000,0.00750000,1.000000000000e-12,2.798165137615e-01,1000000.0000000000
4,1,0.95000000,0.47200000,0.00750000,1.000000000000e-12,3.027522935780e-01,1000000.0000000000
4,1,-0.25000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.23000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.21000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.19000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.17000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.15000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.13000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.11000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.09000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.07000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.05000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.03000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,-0.01000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.01000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.03000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.05000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.07000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.09000000,0.48300000,0.00750000,1.000000000000e-12,4.629629629630e-03,1000000.0000000000
4,1,0.11000000,0.48300000,0.00750000,1.000000000000e-12,4.651162790698e-03,1000000.0000000000
4,1,0.13000000,0.48300000,0.00750000,1.000000000000e-12,1.000000000000e-12,1.0000000000
4,1,0.15000000,0.48300000,0.00750000,1.000000000000e-12,4.608294930876e-03,1000000.0000000000
4,1,0.17000000,0.48300000,0.00750000,1.000000000000e-12,1.382488479263e-02,1000000.0000000000
4,1,0.19000000,0.48300000,0.00750000,1.000000000000e-12,9.259259259259e-03,1000000.0000000000
4,1,0.21000000,0.48300000,0.00750000,1.000000000000e-12,1.851851851852e-02,1000000.0000000000
4,1,0.23000000,0.48300000,0.00750000,1.000000000000e-12,1.382488479263e-02,1000000.0000000000
4,1,0.25000000,0.48300000,0.00750000,1.000000000000e-12,2.304147465438e-02,1000000.0000000000
4,1,0.27000000,0.48300000,0.00750000,1.000000000000e-12,2.314814814815e-02,1000000.0000000000
4,1,0.29000000,0.48300000,0.00750000,1.000000000000e-12,3.703703703704e-02,1000000.0000000000
4,1,0.31000000,0.48300000,0.00750000,1.000000000000e-12,4.629629629630e-02,1000000.0000000000
4,1,0.33000000,0.48300000,0.00750000,1.000000000000e-12,5.069124423963e-02,1000000.0000000000
4,1,0.35000000,0.48300000,0.00750000,1.000000000000e-12,5.529953917051e-02,1000000.0000000000
4,1,0.37000000,0.48300000,0.00750000,1.000000000000e-12,5.116279069767e-02,1000000.0000000000
4,1,0.39000000,0.48300000,0.00750000,1.000000000000e-12,6.481481481481e-02,1000000.0000000000
4,1,0.41000000,0.48300000,0.00750000,1.000000000000e-12,8.333333333333e-02,1000000.0000000000
4,1,0.43000000,0.48300000,0.00750000,1.000000000000e-12,8.755760368664e-02,1000000.0000000000
4,1,0.45000000,0.48300000,0.00750000,1.000000000000e-12,9.677419354839e-02,1000000.0000000000
4,1,0.47000000,0.48300000,0.00750000,1.000000000000e-12,1.105990783410e-01,1000000.0000000000
4,1,0.49000000,0.48300000,0.00750000,1.000000000000e-12,1.023255813953e-01,1000000.0000000000
4,1,0.51000000,0.48300000,0.00750000,1.000000000000e-12,1.111111111111e-01,1000000.0000000000
4,1,0.53000000,0.48300000,0.00750000,1.000000000000e-12,1.203703703704e-01,1000000.0000000000
4,1,0.55000000,0.48300000,0.00750000,1.000000000000e-12,1.336405529954e-01,1000000.0000000000
