implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,scv,mean_generation_batch_hits,rho_lane,cycles,warmup_cycles,effective_capacity,offered_transactions,delivered_transactions,dropped_transactions,mean_occupancy,max_occupancy,loss_probability
time_merger,4,1,1.0,-0.1,0.6694214876033057,1.0,0.005,512,64,19,9,9,0,0.0,0,1e-12
time_merger,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.005,512,64,19,8,8,0,0.026785714285714284,1,1e-12
time_merger,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.005,512,64,19,9,9,0,0.06919642857142858,2,1e-12
time_merger,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.005,512,64,19,7,7,0,0.09598214285714286,3,1e-12
time_merger,4,1,1.0,0.5,9.0,5.0,0.005,512,64,19,10,8,0,0.203125,4,1e-12
time_merger,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.005,512,64,19,0,0,0,0.0,0,1e-12
time_merger,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.005,512,64,19,0,0,0,0.0,0,1e-12
time_merger,4,1,1.0,0.95,1000.0,760.9999999999986,0.005,512,64,19,0,0,0,0.0,0,1e-12
time_merger,4,1,1.0,-0.25,0.36,1.0,0.041874999999999996,512,64,19,75,75,0,0.34598214285714285,1,1e-12
time_merger,4,1,1.0,-0.1,0.6694214876033057,1.0,0.041874999999999996,512,64,19,75,75,0,0.34598214285714285,1,1e-12
time_merger,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.041874999999999996,512,64,19,76,75,0,0.5446428571428571,2,1e-12
time_merger,4,1,1.0,0.19999999999999996,2.2499999999999996,1.6249999999999998,0.041874999999999996,512,64,19,75,75,0,0.71875,2,1e-12
time_merger,4,1,1.0,0.35,4.313609467455622,2.656804733727811,0.041874999999999996,512,64,19,75,76,0,1.0602678571428572,3,1e-12
time_merger,4,1,1.0,0.5,9.0,5.0,0.041874999999999996,512,64,19,75,75,0,1.8236607142857142,5,1e-12
time_merger,4,1,1.0,0.6499999999999999,22.224489795918352,11.612244897959176,0.041874999999999996,512,64,19,81,74,0,4.9375,12,1e-12
time_merger,4,1,1.0,0.8,81.00000000000003,41.000000000000014,0.041874999999999996,512,64,19,82,24,44,2.7388392857142856,18,0.5365853658536586
time_merger,4,1,1.0,0.95,1000.0,760.9999999999986,0.041874999999999996,512,64,19,0,0,0,0.0,0,1e-12
time_merger,4,1,1.0,-0.25,0.36,1.0,0.07875,512,64,19,141,90,40,17.350446428571427,19,0.28368794326241137
time_merger,4,1,1.0,-0.1,0.6694214876033057,1.0,0.07875,512,64,19,141,90,40,17.350446428571427,19,0.28368794326241137
time_merger,4,1,1.0,0.04999999999999999,1.2216066481994463,1.1108033240997233,0.07875,512,64,19,142,90,40,17.178571428571427,19,0.28169014084507044
