implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,rho_lane,effective_load,loss_probability
opq,4,1,1.000000,-0.06000000,0.00745833,0.0289766949,1.000000000000e-12
opq,4,1,1.000000,-0.05000000,0.00745833,0.0291143522,1.000000000000e-12
opq,4,1,1.000000,-0.04000000,0.00745833,0.0292539902,1.000000000000e-12
opq,4,1,1.000000,-0.03000000,0.00745833,0.0293956568,1.000000000000e-12
opq,4,1,1.000000,-0.02000000,0.00745833,0.0295394017,1.000000000000e-12
opq,4,1,1.000000,-0.01000000,0.00745833,0.0296852762,1.000000000000e-12
opq,4,1,1.000000,0.00000000,0.00745833,0.0298333333,1.000000000000e-12
opq,4,1,1.000000,0.01000000,0.00745833,0.0299836282,1.000000000000e-12
opq,4,1,1.000000,0.02000000,0.00745833,0.0301362176,1.000000000000e-12
opq,4,1,1.000000,0.03000000,0.00745833,0.0302911606,1.000000000000e-12
opq,4,1,1.000000,0.04000000,0.00745833,0.0304485183,1.000000000000e-12
opq,4,1,1.000000,0.05000000,0.00745833,0.0306083542,1.000000000000e-12
opq,4,1,1.000000,0.06000000,0.00745833,0.0307707338,1.000000000000e-12
opq,4,1,1.000000,0.07000000,0.00745833,0.0309357256,1.000000000000e-12
opq,4,1,1.000000,0.08000000,0.00745833,0.0311034001,1.000000000000e-12
opq,4,1,1.000000,0.09000000,0.00745833,0.0312738310,1.000000000000e-12
opq,4,1,1.000000,0.10000000,0.00745833,0.0314470945,1.000000000000e-12
opq,4,1,1.000000,0.11000000,0.00745833,0.0316232701,1.000000000000e-12
opq,4,1,1.000000,0.12000000,0.00745833,0.0318024402,1.000000000000e-12
opq,4,1,1.000000,0.13000000,0.00745833,0.0319846906,1.000000000000e-12
opq,4,1,1.000000,0.14000000,0.00745833,0.0321701107,1.000000000000e-12
opq,4,1,1.000000,0.15000000,0.00745833,0.0323587933,1.000000000000e-12
opq,4,1,1.000000,0.16000000,0.00745833,0.0325508353,1.000000000000e-12
opq,4,1,1.000000,0.17000000,0.00745833,0.0327463376,1.000000000000e-12
opq,4,1,1.000000,0.18000000,0.00745833,0.0329454053,1.000000000000e-12
opq,4,1,1.000000,0.19000000,0.00745833,0.0331481481,1.000000000000e-12
opq,4,1,1.000000,0.20000000,0.00745833,0.0333546807,1.000000000000e-12
opq,4,1,1.000000,0.21000000,0.00745833,0.0335651224,1.000000000000e-12
opq,4,1,1.000000,0.22000000,0.00745833,0.0337795982,1.000000000000e-12
opq,4,1,1.000000,0.23000000,0.00745833,0.0339982386,1.000000000000e-12
opq,4,1,1.000000,0.24000000,0.00745833,0.0342211803,1.000000000000e-12
opq,4,1,1.000000,0.25000000,0.00745833,0.0344485661,1.000000000000e-12
opq,4,1,1.000000,0.26000000,0.00745833,0.0346805456,1.000000000000e-12
opq,4,1,1.000000,0.27000000,0.00745833,0.0349172756,1.000000000000e-12
opq,4,1,1.000000,0.28000000,0.00745833,0.0351589205,1.000000000000e-12
opq,4,1,1.000000,0.29000000,0.00745833,0.0354056528,1.000000000000e-12
opq,4,1,1.000000,0.30000000,0.00745833,0.0356576535,1.000000000000e-12
opq,4,1,1.000000,0.31000000,0.00745833,0.0359151128,1.000000000000e-12
opq,4,1,1.000000,0.32000000,0.00745833,0.0361782307,1.000000000000e-12
opq,4,1,1.000000,0.33000000,0.00745833,0.0364472176,1.000000000000e-12
opq,4,1,1.000000,0.34000000,0.00745833,0.0367222948,1.000000000000e-12
opq,4,1,1.000000,0.35000000,0.00745833,0.0370036958,1.000000000000e-12
opq,4,1,1.000000,0.36000000,0.00745833,0.0372916667,1.000000000000e-12
opq,4,1,1.000000,0.37000000,0.00745833,0.0375864670,1.000000000000e-12
opq,4,1,1.000000,0.38000000,0.00745833,0.0378883712,1.000000000000e-12
opq,4,1,1.000000,0.39000000,0.00745833,0.0381976692,1.000000000000e-12
opq,4,1,1.000000,0.40000000,0.00745833,0.0385146677,1.000000000000e-12
opq,4,1,1.000000,0.41000000,0.00745833,0.0388396918,1.000000000000e-12
opq,4,1,1.000000,0.42000000,0.00745833,0.0391730858,1.000000000000e-12
opq,4,1,1.000000,0.43000000,0.00745833,0.0395152153,1.000000000000e-12
opq,4,1,1.000000,0.44000000,0.00745833,0.0398664686,1.000000000000e-12
opq,4,1,1.000000,0.45000000,0.00745833,0.0402272585,1.000000000000e-12
opq,4,1,1.000000,0.46000000,0.00745833,0.0405980244,1.000000000000e-12
opq,4,1,1.000000,0.47000000,0.00745833,0.0409792349,1.000000000000e-12
opq,4,1,1.000000,0.48000000,0.00745833,0.0413713896,1.000000000000e-12
opq,4,1,1.000000,0.49000000,0.00745833,0.0417750225,1.000000000000e-12
opq,4,1,1.000000,0.50000000,0.00745833,0.0421907046,1.000000000000e-12
opq,4,1,1.000000,0.51000000,0.00745833,0.0426190476,1.000000000000e-12
opq,4,1,1.000000,0.52000000,0.00745833,0.0430607076,1.000000000000e-12
opq,4,1,1.000000,0.53000000,0.00745833,0.0435163891,1.000000000000e-12
opq,4,1,1.000000,0.54000000,0.00745833,0.0439868503,1.000000000000e-12
opq,4,1,1.000000,0.55000000,0.00745833,0.0444729076,1.000000000000e-12
opq,4,1,1.000000,0.56000000,0.00745833,0.0449754422,1.000000000000e-12
opq,4,1,1.000000,0.57000000,0.00745833,0.0454954068,1.000000000000e-12
