n_shd,skew_frames,skew_timestamp_ticks,skew_ns,aligned_poisson_mean,offered_poisson_mean,opq_effective_capacity,old_tree_depth,old_effective_capacity,opq_loss_rate,old_time_merger_loss_rate,loss_ratio_clipped,log10_opq_loss_rate,log10_old_time_merger_loss_rate,log10_loss_ratio_clipped
128,1.6,3276.8,26214.4,565.248,753.6640000000001,256,2,32,0.41032608695652173,0.7075407608695652,1.724337748344371,-0.38687087138034826,-0.15024853571771538,0.23662233566263285
128,1.6166666666666667,3310.9333333333334,26487.466666666667,571.1360000000001,761.5146666666667,256,2,32,0.4138278798744958,0.707978484984312,1.7108042242079609,-0.3831802539608213,-0.14997994004266993,0.23320031391815135
128,1.6333333333333333,3345.0666666666666,26760.533333333333,577.024,769.3653333333333,256,2,32,0.41725820763087845,0.7084072759538599,1.6977671451355663,-0.37959511182369005,-0.14971698688006507,0.22987812494362492
128,1.65,3379.2,27033.6,582.912,777.216,256,2,32,0.4206192358366272,0.7088274044795785,1.6851996867658574,-0.3761108699600274,-0.14945950022909113,0.22665136973093625
128,1.6666666666666667,3413.3333333333335,27306.666666666668,588.8000000000001,785.0666666666667,256,2,32,0.4239130434782609,0.7092391304347826,1.673076923076923,-0.372723220319056,-0.1492073113352367,0.22351590898381932
128,1.6833333333333333,3447.4666666666667,27579.733333333334,594.6880000000001,792.9173333333334,256,2,32,0.42714162720619897,0.709642703400775,1.6613756613756612,-0.36942810222103434,-0.14896025832106358,0.22046784389997073
128,1.7,3481.6,27852.8,600.576,800.768,256,2,32,0.430306905370844,0.7100383631713555,1.650074294205052,-0.3662216844998524,-0.14871818583933644,0.2175034986605159
128,1.7166666666666666,3515.733333333333,28125.866666666665,606.464,808.6186666666666,256,2,32,0.43341072182355433,0.7104263402279444,1.6391526661796931,-0.36310034919707496,-0.14848094474694118,0.21461940445013378
128,1.7333333333333334,3549.866666666667,28398.933333333334,612.3520000000001,816.4693333333335,256,2,32,0.4364548494983278,0.710806856187291,1.6285919540229885,-0.36006067665012986,-0.14824839179815577,0.21181228485197406
128,1.75,3584.0,28672.0,618.24,824.32,256,2,32,0.43944099378881984,0.7111801242236024,1.6183745583038869,-0.3570994318355219,-0.14802038935594294,0.20907904247957895
128,1.7666666666666666,3618.133333333333,28945.066666666666,624.128,832.1706666666666,256,2,32,0.44237079573420846,0.7115463494667761,1.608484005563282,-0.3542135518437992,-0.14779680512004362,0.20641674672375554
128,1.7833333333333332,3652.2666666666664,29218.13333333333,630.016,840.0213333333334,256,2,32,0.44524583502641196,0.7119057293783014,1.5989048596851472,-0.3514001343768058,-0.1475775118707406,0.20382262250606512
128,1.8,3686.4,29491.2,635.9040000000001,847.8720000000001,256,2,32,0.44806763285024165,0.7122584541062803,1.5896226415094339,-0.34865642716983414,-0.147362387227247,0.20129403994258716
128,1.8166666666666667,3720.5333333333333,29764.266666666666,641.792,855.7226666666667,256,2,32,0.45083765456721187,0.7126047068209015,1.5806237558062375,-0.3459798182518846,-0.14715131341975776,0.19882850483212686
128,1.8333333333333333,3754.6666666666665,30037.333333333332,647.6800000000001,863.5733333333334,256,2,32,0.4535573122529645,0.7129446640316206,1.5718954248366013,-0.343367826966519,-0.14694417707426727,0.19642364989225175
128,1.8499999999999999,3788.7999999999997,30310.399999999998,653.568,871.424,256,2,32,0.4562279670975323,0.7132784958871915,1.563425627817128,-0.34081809568399174,-0.1467408690093303,0.19407722667466137
128,1.8666666666666667,3822.9333333333334,30583.466666666667,659.456,879.2746666666667,256,2,32,0.4588509316770186,0.7136063664596274,1.5552030456852792,-0.3383283821425379,-0.1465412840439965,0.19178709809854144
128,1.8833333333333333,3857.0666666666666,30856.533333333333,665.344,887.1253333333334,256,2,32,0.4614274721046557,0.7139284340130819,1.5472170106316445,-0.3358965523630778,-0.14634532081621074,0.18955123154686707
128,1.9,3891.2,31129.6,671.232,894.976,256,2,32,0.46395881006864986,0.7142448512585812,1.5394574599260171,-0.33352057408722824,-0.14615288161101772,0.1873676924762105
128,1.9166666666666667,3925.3333333333335,31402.666666666668,677.1200000000001,902.8266666666667,256,2,32,0.4664461247637052,0.7145557655954632,1.531914893617021,-0.3311985106935113,-0.14596387219796036,0.1852346384955509
128,1.9333333333333333,3959.4666666666667,31675.733333333334,683.008,910.6773333333334,256,2,32,0.4688905547226387,0.7148613193403298,1.5245803357314147,-0.32892851555109137,-0.14577820167710243,0.18315031387398895
128,1.95,3993.6,31948.8,688.8960000000001,918.528,256,2,32,0.4712931995540692,0.7151616499442587,1.5174452986398579,-0.3267088267743127,-0.14559578233314474,0.1811130444411679
128,1.9666666666666666,4027.733333333333,32221.866666666665,694.784,926.3786666666666,256,2,32,0.4736551215917465,0.7154568901989683,1.5105017502917153,-0.3245377623448389,-0.1454165294971462,0.17912123284769266
128,1.9833333333333334,4061.866666666667,32494.933333333334,700.672,934.2293333333334,256,2,32,0.4759773474607234,0.7157471684325903,1.5037420840529647,-0.322413715571325,-0.14524036141538732,0.17717335415593763
128,2.0,4096.0,32768.0,706.5600000000001,942.08,256,2,32,0.4782608695652174,0.7160326086956522,1.497159090909091,-0.3203351508593678,-0.14506719912495222,0.17526795173441564
256,0.0,0.0,0.0,0.0,0.0,256,2,32,0.0,0.0,1.0,-12.0,-12.0,0.0
256,0.016666666666666666,68.26666666666667,546.1333333333333,11.776000000000002,15.701333333333334,256,2,32,4.3001584917878e-241,2.843568929678575e-08,28435.689296785753,-12.0,-7.546136239746538,4.453863760253462
256,0.03333333333333333,136.53333333333333,1092.2666666666667,23.552000000000003,31.40266666666667,256,2,32,4.221240287267018e-169,0.0033194576510505404,1000000.0,-12.0,-2.4789328676202795,6.0
256,0.05,204.8,1638.4,35.328,47.104000000000006,256,2,32,4.317545292168931e-129,0.09256071440661189,1000000.0,-12.0,-1.0335733020505589,6.0
256,0.06666666666666667,273.06666666666666,2184.5333333333333,47.104000000000006,62.80533333333334,256,2,32,3.5675717681031362e-102,0.2408204069404627,1000000.0,-12.0,-0.6183067140665431,6.0
256,0.08333333333333333,341.3333333333333,2730.6666666666665,58.88,78.50666666666666,256,2,32,1.9806333179781305e-82,0.3423925464452477,1000000.0,-12.0,-0.46547569806302935,6.0
256,0.1,409.6,3276.8,70.656,94.20800000000001,256,2,32,3.203534618303693e-67,0.4103260886464895,1000000.0,-12.0,-0.3868708695916643,6.0
256,0.11666666666666667,477.8666666666667,3822.9333333333334,82.432,109.90933333333334,256,2,32,3.8526368755648405e-55,0.45885093167811225,1000000.0,-12.0,-0.33832838214150285,6.0
256,0.13333333333333333,546.1333333333333,4369.066666666667,94.20800000000001,125.61066666666667,256,2,32,2.3834577521789354e-45,0.49524456521739174,1000000.0,-12.0,-0.30518028168350503,6.0
256,0.15,614.4,4915.2,105.98400000000001,141.312,256,2,32,2.6427134832160797e-37,0.5235507246376812,1000000.0,-12.0,-0.28104123497265104,6.0
256,0.16666666666666666,682.6666666666666,5461.333333333333,117.76,157.01333333333332,256,2,32,1.2322257825528784e-30,0.5461956521739131,1000000.0,-12.0,-0.26265176125302875,6.0
256,0.18333333333333332,750.9333333333333,6007.466666666666,129.536,172.71466666666666,256,2,32,4.442777429482342e-25,0.5647233201581028,1000000.0,-12.0,-0.24816427777247974,6.0
256,0.2,819.2,6553.6,141.312,188.41600000000003,256,2,32,1.9438460775091653e-20,0.5801630434782609,1000000.0,-12.0,-0.23644993931247502,6.0
256,0.21666666666666667,887.4666666666667,7099.733333333334,153.08800000000002,204.11733333333336,256,2,32,1.4549338420097603e-16,0.5932274247491639,1000000.0,-12.0,-0.22677877985889922,6.0
256,0.23333333333333334,955.7333333333333,7645.866666666667,164.864,219.81866666666667,256,2,32,2.436446530443968e-13,0.6044254658385093,1000000.0,-12.0,-0.21865724611965418,6.0
256,0.25,1024.0,8192.0,176.64000000000001,235.52,256,2,32,1.1314428968759e-10,0.6141304347826088,1000000.0,-9.946367359692013,-0.21173937952611668,6.0
256,0.26666666666666666,1092.2666666666667,8738.133333333333,188.41600000000003,251.22133333333335,256,2,32,1.7367489958456826e-08,0.6226222826086957,1000000.0,-7.760262943554114,-0.20577534070324455,6.0
