implementation,n_lane,egress_symbols_per_beat,burstiness,scv,rate_per_lane,effective_load,effective_capacity,loss_probability
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.27130000000000004,0.7705697030294475,255,3.1455226116578458e-30
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.2752,0.7816468200283964,255,1.1398657247230112e-28
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.2791,0.7927239370273452,255,3.91428181892213e-27
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.28300000000000003,0.8038010540262942,255,1.2752119199612972e-25
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.28690000000000004,0.8148781710252432,255,3.9454093560407315e-24
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.2908,0.825955288024192,255,1.1603206604407045e-22
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.2947,0.837032405023141,255,3.24623931489882e-21
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.29860000000000003,0.84810952202209,255,8.645200063178714e-20
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.30250000000000005,0.859186639021039,255,2.1926036945215764e-18
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.3064,0.8702637560199877,255,5.297122303972844e-17
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.3103,0.8813408730189367,255,1.2189855506675182e-15
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.31420000000000003,0.8924179900178857,255,2.670916853850075e-14
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.31810000000000005,0.9034951070168347,255,5.567107285851136e-13
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.322,0.9145722240157835,255,1.1020239109255305e-11
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.3259,0.9256493410147325,255,2.0660526130269405e-10
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.32980000000000004,0.9367264580136815,255,3.651597395373201e-09
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.33370000000000005,0.9478035750126305,255,6.036963729368664e-08
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.3376,0.9588806920115792,255,9.204949973130361e-07
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.3415,0.9699578090105282,255,1.2585869480456008e-05
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.34540000000000004,0.9810349260094772,255,0.00014478873284785296
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.34930000000000005,0.9921120430084261,255,0.0012057922131612465
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.3532,1.003189160007375,255,0.005703136279588148
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.35710000000000003,1.014266277006324,255,0.014450173546534264
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.36100000000000004,1.025343394005273,255,0.024757828978925603
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.36490000000000006,1.036420511004222,255,0.035144373587140454
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.3688,1.0474976280031707,255,0.04534421459270383
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.37270000000000003,1.0585747450021197,255,0.05533361981056826
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.37660000000000005,1.0696518620010687,255,0.06511638669534728
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.38050000000000006,1.0807289790000176,255,0.07469863467833501
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.3844,1.0918060959989664,255,0.08408644753968796
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.38830000000000003,1.1028832129979154,255,0.09328568227961832
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.39220000000000005,1.1139603299968643,255,0.10230196437722279
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.3961,1.125037446995813,255,0.11114069787606681
OPQ,4,1,-0.9833333333333333,0.00840336134453784,0.4,1.136114563994762,255,0.11980707607176719
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.01,0.028522961312491702,255,0.0
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.013900000000000001,0.03964691622436347,255,0.0
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0178,0.05077087113623523,255,0.0
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0217,0.06189482604810699,255,6.984091871756983e-309
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0256,0.07301878095997875,255,1.3895954096742535e-290
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0295,0.08414273587185052,255,6.935346274604238e-275
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0334,0.09526669078372228,255,3.8591876634129615e-261
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0373,0.10639064569559405,255,6.479270307206061e-249
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0412,0.11751460060746581,255,6.593619753081106e-238
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0451,0.1286385555193376,255,6.758382995886489e-228
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.049,0.13976251043120935,255,1.0215157184656713e-218
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0529,0.15088646534308112,255,3.0534331303816394e-210
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0568,0.16201042025495288,255,2.273476689355367e-202
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.060700000000000004,0.17313437516682464,255,5.0719789523582625e-195
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0646,0.1842583300786964,255,3.9397713471833905e-188
OPQ,4,1,-0.9666666666666667,0.016949152542372878,0.0685,0.19538228499056817,255,1.2059008510132135e-181
