run_tag,component,status,metric,rtl_value,tlm_value,compared,mismatches,threshold,discrepancy,notes
component_b403_rho0750_f0261_seed7103,frame_table_subheader_ledger,DEBUG,wr_shd,12178,30336,1,18158,0.01,1.4910494,rtl_rd_shd=12178 rtl_drop_shd=0
component_b403_rho0750_f0261_seed7103,frame_table_hit_ledger,DEBUG,rd_plus_drop_hit,59701,74565,1,14864,0.01,0.24897405,rtl_ft_drop_hit=0 tlm_ft_drop_hit=0 tlm_wr_hit=74565
component_b403_rho0750_f0261_seed7103,transaction_bucket_order,DEBUG,OPQ_TXN_deliver_bucket_count_and_order,59701,74565,59701,86746,0.01,0.24897405,missing_bucket=50805 extra_bucket=35941 bucket_order_violations=0
component_b403_rho0750_f0261_seed7103,transaction_word_identity,DEBUG,OPQ_TXN_deliver_word_identity,59701,74565,59701,116756,0.01,0.24897405,missing_word=65810 extra_word=50946
component_b403_rho0750_f0261_seed7103,collective_loss,DEBUG,dropped_hits,40910,26028,101263,14882,0.01,0.36377414,rtl_expected=101263 rtl_uvm_clean=0 tlm_pre=23193 tlm_post=2835 tlm_ft=0
component_b700_rho0700_f0280_seed7101,ingress_lane_fifo,DEBUG,raw_subheader_ticket_decision,143360,143360,143360,145728,0.01,0,missing_tlm=72864 extra_tlm=72864 key_count=125737
component_b700_rho0700_f0280_seed7101,ticket_drop_control,DEBUG,controlled_pre_post_drop_hits_by_serial_lane,36126,18615,821,40799,0.01,0.48472015,pre/post key_count=821 hit_delta_sum=40799
component_b700_rho0700_f0280_seed7101,page_allocator_handle_fifo,DEBUG,handle_accept_hits_by_lane_timestamp,62319,81362,7452,143477,0.01,0.30557294,rtl_handles=3696 tlm_handle_events=4711
component_b700_rho0700_f0280_seed7101,frame_table_header_ledger,DEBUG,wr_hdr,197,258,1,61,0.01,0.30964467,rtl_rd_hdr=197 rtl_drop_hdr=0
component_b700_rho0700_f0280_seed7101,frame_table_subheader_ledger,DEBUG,wr_shd,3486,33024,1,29538,0.01,8.4733219,rtl_rd_shd=3486 rtl_drop_shd=0
component_b700_rho0700_f0280_seed7101,frame_table_hit_ledger,DEBUG,rd_plus_drop_hit,62319,81362,1,19043,0.01,0.30557294,rtl_ft_drop_hit=0 tlm_ft_drop_hit=0 tlm_wr_hit=81362
component_b700_rho0700_f0280_seed7101,transaction_bucket_order,DEBUG,OPQ_TXN_deliver_bucket_count_and_order,62319,81362,62319,127265,0.01,0.30557294,missing_bucket=73154 extra_bucket=54111 bucket_order_violations=0
component_b700_rho0700_f0280_seed7101,transaction_word_identity,DEBUG,OPQ_TXN_deliver_word_identity,62319,81362,62319,139223,0.01,0.30557294,missing_word=79133 extra_word=60090
component_b700_rho0700_f0280_seed7101,collective_loss,DEBUG,dropped_hits,36143,18615,99672,17528,0.01,0.48496251,rtl_expected=99672 rtl_uvm_clean=0 tlm_pre=15521 tlm_post=3094 tlm_ft=0
component_b700_rho0700_f0280_seed7102,ingress_lane_fifo,DEBUG,raw_subheader_ticket_decision,143360,143360,143360,147626,0.01,0,missing_tlm=73813 extra_tlm=73813 key_count=126578
component_b700_rho0700_f0280_seed7102,ticket_drop_control,DEBUG,controlled_pre_post_drop_hits_by_serial_lane,36250,18615,800,41249,0.01,0.48648276,pre/post key_count=800 hit_delta_sum=41249
component_b700_rho0700_f0280_seed7102,page_allocator_handle_fifo,DEBUG,handle_accept_hits_by_lane_timestamp,64034,81362,7654,145156,0.01,0.27060624,rtl_handles=3795 tlm_handle_events=4711
component_b700_rho0700_f0280_seed7102,frame_table_header_ledger,DEBUG,wr_hdr,206,258,1,52,0.01,0.25242718,rtl_rd_hdr=206 rtl_drop_hdr=0
component_b700_rho0700_f0280_seed7102,frame_table_subheader_ledger,DEBUG,wr_shd,3581,33024,1,29443,0.01,8.222005,rtl_rd_shd=3581 rtl_drop_shd=0
component_b700_rho0700_f0280_seed7102,frame_table_hit_ledger,DEBUG,rd_plus_drop_hit,64034,81362,1,17328,0.01,0.27060624,rtl_ft_drop_hit=0 tlm_ft_drop_hit=0 tlm_wr_hit=81362
component_b700_rho0700_f0280_seed7102,transaction_bucket_order,DEBUG,OPQ_TXN_deliver_bucket_count_and_order,64034,81362,64034,128818,0.01,0.27060624,missing_bucket=73073 extra_bucket=55745 bucket_order_violations=0
component_b700_rho0700_f0280_seed7102,transaction_word_identity,DEBUG,OPQ_TXN_deliver_word_identity,64034,81362,64034,141002,0.01,0.27060624,missing_word=79165 extra_word=61837
component_b700_rho0700_f0280_seed7102,collective_loss,DEBUG,dropped_hits,36267,18615,100898,17652,0.01,0.48672347,rtl_expected=100898 rtl_uvm_clean=0 tlm_pre=15521 tlm_post=3094 tlm_ft=0
component_b700_rho0700_f0280_seed7103,ingress_lane_fifo,DEBUG,raw_subheader_ticket_decision,143360,143360,143360,147600,0.01,0,missing_tlm=73800 extra_tlm=73800 key_count=126406
component_b700_rho0700_f0280_seed7103,ticket_drop_control,DEBUG,controlled_pre_post_drop_hits_by_serial_lane,37500,18615,809,42575,0.01,0.5036,pre/post key_count=809 hit_delta_sum=42575
component_b700_rho0700_f0280_seed7103,page_allocator_handle_fifo,DEBUG,handle_accept_hits_by_lane_timestamp,62179,81362,7472,143435,0.01,0.30851252,rtl_handles=3675 tlm_handle_events=4711
component_b700_rho0700_f0280_seed7103,frame_table_header_ledger,DEBUG,wr_hdr,198,258,1,60,0.01,0.3030303,rtl_rd_hdr=198 rtl_drop_hdr=0
component_b700_rho0700_f0280_seed7103,frame_table_subheader_ledger,DEBUG,wr_shd,3472,33024,1,29552,0.01,8.5115207,rtl_rd_shd=3472 rtl_drop_shd=0
component_b700_rho0700_f0280_seed7103,frame_table_hit_ledger,DEBUG,rd_plus_drop_hit,62179,81362,1,19183,0.01,0.30851252,rtl_ft_drop_hit=0 tlm_ft_drop_hit=0 tlm_wr_hit=81362
component_b700_rho0700_f0280_seed7103,transaction_bucket_order,DEBUG,OPQ_TXN_deliver_bucket_count_and_order,62179,81362,62179,127741,0.01,0.30851252,missing_bucket=73462 extra_bucket=54279 bucket_order_violations=0
component_b700_rho0700_f0280_seed7103,transaction_word_identity,DEBUG,OPQ_TXN_deliver_word_identity,62179,81362,62179,138875,0.01,0.30851252,missing_word=79029 extra_word=59846
component_b700_rho0700_f0280_seed7103,collective_loss,DEBUG,dropped_hits,37517,18615,100343,18902,0.01,0.50382493,rtl_expected=100343 rtl_uvm_clean=0 tlm_pre=15521 tlm_post=3094 tlm_ft=0
