run_tag,case,n_lane,egress_symbols_per_beat,rho_ppm,burstiness_milli,frame_count,subheaders_per_frame,inter_frame_gap_cycles,lane_fifo_depth,ticket_fifo_depth,page_ram_depth,frame_ts_step_ticks,frame_launch_period_cycles,feb_header_latency_cycles,tlm_offered_hits,rtl_expected_hits,tlm_dropped_hits,tlm_predrop_hits,tlm_postdrop_hits,tlm_ft_drop_hits,tlm_lane_predrop_hits,tlm_lane_postdrop_hits,tlm_lane_ft_drop_hits,tlm_lane_dropped_hits,rtl_dropped_hits,tlm_loss,rtl_loss,max_lane_fifo_used,max_ticket_fifo_used,max_handle_fifo_used,max_page_frames,max_page_words,max_cycle,sequence_monotonic
share_shallow_b200_s0242_rho07744_f0004_seeda027,RTL-LS-002,4,1,7744000,200,4,128,4096,8192,4096,65536,2048,4096,4096,15940,15940,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2649,274,64,2,8411,37588,1
share_shallow_b200_s0245_rho07840_f0004_seeda028,RTL-LS-002,4,1,7840000,200,4,128,4096,8192,4096,65536,2048,4096,4096,15890,15890,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2639,273,64,2,8219,37435,1
share_shallow_b200_s0250_rho08000_f0004_seeda029,RTL-LS-002,4,1,8000000,200,4,128,4096,8192,4096,65536,2048,4096,4096,16483,16483,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2753,276,64,2,8410,38087,1
share_shallow_b200_s0255_rho08160_f0004_seeda02a,RTL-LS-002,4,1,8160000,200,4,128,4096,8192,4096,65536,2048,4096,4096,16939,16939,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2839,275,64,2,8626,38818,1
share_shallow_b200_s0260_rho08320_f0004_seeda02b,RTL-LS-002,4,1,8320000,200,4,128,4096,8192,4096,65536,2048,4096,4096,17353,17353,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3024,276,64,2,9088,38735,1
share_shallow_b200_s0270_rho08640_f0004_seeda02c,RTL-LS-002,4,1,8640000,200,4,128,4096,8192,4096,65536,2048,4096,4096,17828,17828,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3035,280,64,2,9286,39516,1
share_shallow_b200_s0280_rho08960_f0004_seeda02d,RTL-LS-002,4,1,8960000,200,4,128,4096,8192,4096,65536,2048,4096,4096,18313,18313,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3123,282,64,2,9392,39961,1
share_shallow_b200_s0300_rho09600_f0004_seeda02e,RTL-LS-002,4,1,9600000,200,4,128,4096,8192,4096,65536,2048,4096,4096,19136,19136,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3249,282,64,2,9890,40773,1
share_shallow_b200_s0340_rho10880_f0004_seeda02f,RTL-LS-002,4,1,10880000,200,4,128,4096,8192,4096,65536,2048,4096,4096,21794,21794,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3745,288,64,2,11285,43060,1
share_shallow_b200_s0400_rho12800_f0004_seeda030,RTL-LS-002,4,1,12800000,200,4,128,4096,8192,4096,65536,2048,4096,4096,25930,25930,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,4521,292,64,2,13381,47234,1
share_shallow_b300_s0180_rho05760_f0004_seeda031,RTL-LS-002,4,1,5760000,300,4,128,4096,8192,4096,65536,2048,4096,4096,12301,12301,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2020,261,64,2,6528,33458,1
share_shallow_b300_s0200_rho06400_f0004_seeda032,RTL-LS-002,4,1,6400000,300,4,128,4096,8192,4096,65536,2048,4096,4096,12927,12927,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2080,265,64,2,6736,34195,1
share_shallow_b300_s0220_rho07040_f0004_seeda033,RTL-LS-002,4,1,7040000,300,4,128,4096,8192,4096,65536,2048,4096,4096,14399,14399,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2374,267,64,2,7441,36060,1
share_shallow_b300_s0230_rho07360_f0004_seeda034,RTL-LS-002,4,1,7360000,300,4,128,4096,8192,4096,65536,2048,4096,4096,15024,15024,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2544,271,64,2,7725,36549,1
share_shallow_b300_s0235_rho07520_f0004_seeda035,RTL-LS-002,4,1,7520000,300,4,128,4096,8192,4096,65536,2048,4096,4096,15836,15836,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2640,272,64,2,8173,37731,1
share_shallow_b300_s0240_rho07680_f0004_seeda036,RTL-LS-002,4,1,7680000,300,4,128,4096,8192,4096,65536,2048,4096,4096,15901,15901,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2724,271,64,2,8318,37315,1
share_shallow_b300_s0242_rho07744_f0004_seeda037,RTL-LS-002,4,1,7744000,300,4,128,4096,8192,4096,65536,2048,4096,4096,15839,15839,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2615,274,64,2,8241,37435,1
share_shallow_b300_s0245_rho07840_f0004_seeda038,RTL-LS-002,4,1,7840000,300,4,128,4096,8192,4096,65536,2048,4096,4096,16012,16012,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2658,274,64,2,8189,37653,1
share_shallow_b300_s0250_rho08000_f0004_seeda039,RTL-LS-002,4,1,8000000,300,4,128,4096,8192,4096,65536,2048,4096,4096,16138,16138,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2636,273,64,2,8307,37443,1
share_shallow_b300_s0255_rho08160_f0004_seeda03a,RTL-LS-002,4,1,8160000,300,4,128,4096,8192,4096,65536,2048,4096,4096,16705,16705,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2821,275,64,2,8557,38348,1
share_shallow_b300_s0260_rho08320_f0004_seeda03b,RTL-LS-002,4,1,8320000,300,4,128,4096,8192,4096,65536,2048,4096,4096,17205,17205,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,2885,279,64,2,8858,38731,1
share_shallow_b300_s0270_rho08640_f0004_seeda03c,RTL-LS-002,4,1,8640000,300,4,128,4096,8192,4096,65536,2048,4096,4096,18132,18132,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3099,281,64,2,9298,39860,1
share_shallow_b300_s0280_rho08960_f0004_seeda03d,RTL-LS-002,4,1,8960000,300,4,128,4096,8192,4096,65536,2048,4096,4096,18291,18291,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3276,281,64,2,9597,40062,1
share_shallow_b300_s0300_rho09600_f0004_seeda03e,RTL-LS-002,4,1,9600000,300,4,128,4096,8192,4096,65536,2048,4096,4096,19469,19469,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3318,284,64,2,9883,40933,1
share_shallow_b300_s0340_rho10880_f0004_seeda03f,RTL-LS-002,4,1,10880000,300,4,128,4096,8192,4096,65536,2048,4096,4096,22386,22386,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,3957,285,64,2,11510,43776,1
share_shallow_b300_s0400_rho12800_f0004_seeda040,RTL-LS-002,4,1,12800000,300,4,128,4096,8192,4096,65536,2048,4096,4096,25820,25820,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,4678,292,64,2,13365,46935,1
share_shallow_b403_s0180_rho05760_f0004_seeda041,RTL-LS-002,4,1,5760000,403,4,128,4096,8192,4096,65536,2048,4096,4096,12034,12034,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1919,253,64,2,6323,32913,1
